product,unit_price,volume,term_months,contract_year,channel
Zoom Education,72.52,500,24,2023,coop
Zoom Education,106.88,50,24,2025,reseller
Zoom Education,72.41,1000,36,2025,coop
Zoom Education,97.1,100,24,2025,coop
Zoom Education,66.29,1000,12,2024,reseller
Zoom Education,65.44,500,36,2023,coop
Zoom Education,75.63,250,12,2025,coop
Zoom Education,73.87,250,24,2023,reseller
Zoom Education,52.42,1000,12,2024,direct
Zoom Education,121.78,50,24,2025,direct
Zoom Education,77.05,1000,24,2023,reseller
Zoom Education,110.03,100,36,2024,coop
Zoom Education,91.05,100,36,2025,direct
Zoom Education,70.15,500,36,2024,direct
Zoom Education,69.4,500,36,2023,direct
Google Workspace,39.15,250,12,2025,reseller
Google Workspace,38.54,100,12,2025,direct
Google Workspace,46.79,100,24,2025,reseller
Google Workspace,41.91,50,12,2025,coop
Google Workspace,27.96,1000,24,2023,direct
Google Workspace,55.69,50,12,2024,direct
Google Workspace,44.08,100,36,2024,reseller
Google Workspace,45.2,100,24,2023,reseller
Google Workspace,40.38,250,12,2025,direct
Google Workspace,34.52,250,12,2024,reseller
Google Workspace,42.06,500,24,2024,coop
Google Workspace,48.2,50,12,2023,reseller
Google Workspace,30.95,500,12,2024,coop
Google Workspace,51.27,100,36,2025,reseller
Google Workspace,43.31,250,12,2025,coop
